<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.12.08	324.01	332.61	322.94	330.93	12465	0	14
2021.12.09	329.22	335.94	327.86	330.74	12067	0	26
2021.12.10	330.54	334.90	326.31	329.68	11977	0	26
2021.12.13	330.81	340.92	329.32	336.38	16142	0	26
2021.12.14	330.16	335.50	327.54	333.94	13830	0	26
2021.12.15	332.05	341.82	325.61	340.02	15442	0	26
2021.12.16	343.60	344.46	333.70	335.84	15733	0	26
2021.12.17	330.07	336.98	329.46	332.66	14706	0	26
2021.12.20	326.91	329.32	322.42	324.70	14690	0	26
2021.12.21	326.84	335.87	323.45	333.37	10142	0	26
2021.12.22	332.45	334.33	328.17	330.25	10077	0	26
2021.12.23	330.61	336.53	328.09	335.59	8818	0	26
2021.12.27	336.59	347.70	336.44	345.92	8921	0	26
2021.12.28	347.96	352.32	344.93	346.43	8852	0	26
2021.12.29	347.15	349.16	341.54	343.72	7452	0	26
2021.12.30	343.82	347.10	342.95	344.93	23541	0	26
2021.12.31	343.84	344.08	339.00	339.00	6357	0	26
2022.01.03	338.49	340.71	336.89	339.31	9564	0	26
2022.01.04	339.09	342.92	331.60	337.75	11599	0	26
2022.01.05	335.02	335.82	324.78	327.47	13411	0	26
2022.01.06	326.53	338.77	321.28	332.38	15634	0	26
2022.01.07	333.19	336.80	328.79	332.86	14799	0	26
2022.01.10	329.25	330.38	315.34	327.24	25756	0	26
2022.01.11	330.03	334.49	325.17	333.57	19541	0	26
2022.01.12	334.21	337.06	329.92	332.04	18506	0	26
2022.01.13	332.33	335.46	326.65	327.16	21536	0	26
2022.01.14	326.41	332.57	320.97	331.67	23492	0	26
2022.01.18	324.09	326.30	318.14	318.92	24209	0	26
2022.01.19	319.48	326.69	318.38	322.20	27243	0	26
2022.01.20	321.82	327.67	318.40	318.97	23074	0	26
2022.01.21	315.01	318.03	304.13	307.12	40863	0	26
2022.01.24	300.25	307.53	288.90	306.63	48480	0	26
2022.01.25	302.86	306.06	297.27	302.53	39854	0	26
2022.01.26	305.33	307.42	290.73	294.03	41004	0	26
2022.01.27	294.62	301.56	294.15	296.36	42642	0	26
2022.01.28	293.56	301.24	290.58	299.04	35538	0	26
2022.01.31	302.05	311.59	299.07	311.27	27016	0	26
2022.02.01	313.12	319.03	311.90	318.71	28958	0	26
2022.02.02	328.78	331.83	316.76	323.24	32150	0	26
2022.02.03	257.36	257.43	235.69	237.36	105203	0	11
2022.02.04	239.62	242.45	230.04	238.60	71537	0	11
2022.02.07	236.82	239.43	224.02	226.74	54773	0	14
2022.02.08	220.37	225.68	216.10	219.69	69863	0	11
2022.02.09	222.10	233.29	221.84	231.95	52220	0	11
2022.02.10	232.16	234.70	226.49	227.20	49430	0	11
2022.02.11	226.91	230.26	218.72	219.06	54990	0	14
2022.02.14	217.36	220.94	214.74	217.26	61078	0	11
2022.02.15	221.29	222.41	215.00	220.07	43788	0	11
2022.02.16	219.83	220.64	211.75	216.34	51695	0	11
2022.02.17	214.60	217.43	208.15	208.80	42897	0	11
2022.02.18	209.67	210.66	205.13	206.14	56204	0	11
2022.02.22	203.40	207.41	200.02	202.53	72683	0	11
2022.02.23	203.89	206.85	198.58	198.68	58616	0	11
2022.02.24	190.82	207.30	188.57	206.40	67271	0	11
2022.02.25	206.38	211.22	203.07	209.99	53468	0	11
2022.02.28	207.96	213.08	206.77	208.38	54968	0	11
2022.03.01	208.28	211.68	203.05	203.09	53560	0	11
2022.03.02	204.11	208.73	201.95	208.53	55461	0	11
2022.03.03	206.85	210.32	201.75	201.77	50990	0	11
2022.03.04	199.96	205.70	198.73	199.27	70665	0	11
2022.03.07	195.39	200.89	188.06	188.59	69171	0	11
2022.03.08	187.19	196.62	186.10	190.23	71690	0	11
2022.03.09	193.71	199.02	193.36	198.55	49494	0	11
2022.03.10	194.97	195.83	191.03	194.64	56357	0	11
2022.03.11	194.82	198.88	186.56	188.51	55523	0	11
2022.03.14	187.39	192.19	185.15	187.35	66258	0	11
2022.03.15	186.11	191.64	185.87	191.26	55781	0	11
2022.03.16	194.80	201.93	194.00	200.88	61686	0	11
2022.03.17	202.46	207.59	201.03	207.52	48952	0	11
2022.03.18	206.65	215.22	205.15	214.95	46843	0	11
2022.03.21	214.92	216.10	207.60	209.73	43411	0	11
2022.03.22	212.05	219.39	209.98	216.83	44521	0	11
2022.03.23	215.91	216.71	212.10	214.44	43634	0	11
2022.03.24	214.92	220.59	214.02	219.14	40834	0	11
2022.03.25	219.81	225.38	218.86	219.75	47935	0	11
2022.03.28	221.33	223.97	219.49	223.09	40937	0	11
2022.03.29	224.12	230.82	223.43	230.39	38585	0	11
2022.03.30	227.88	231.08	226.66	227.14	35868	0	11
2022.03.31	228.81	228.99	223.68	224.12	35264	0	11
2022.04.01	224.20	227.20	222.66	223.05	39598	0	11
2022.04.04	225.47	234.27	225.05	233.46	31143	0	14
2022.04.05	234.03	236.72	231.09	231.69	38391	0	11
2022.04.06	228.19	228.78	221.33	224.34	53250	0	14
2022.04.07	225.57	225.99	218.50	224.34	40138	0	11
2022.04.08	224.03	225.04	219.99	223.56	41815	0	11
2022.04.11	219.31	220.55	215.16	217.29	45556	0	11
2022.04.12	217.02	221.99	213.08	214.08	50669	0	11
2022.04.13	213.90	216.50	210.68	215.88	37003	0	11
2022.04.14	215.72	216.52	210.48	210.94	36245	0	11
2022.04.18	207.87	213.29	207.87	209.71	47428	0	11
2022.04.19	210.50	218.34	208.94	217.41	39391	0	11
2022.04.20	215.63	216.27	198.89	201.28	56838	0	11
2022.04.21	201.80	202.83	185.59	188.05	62320	0	11
2022.04.22	188.52	192.64	183.23	185.85	55755	0	11
2022.04.25	181.98	187.10	180.83	186.39	58643	0	11
2022.04.26	186.40	187.02	179.45	181.93	49553	0	11
2022.04.27	176.90	181.03	168.78	174.71	59812	0	11
2022.04.28	203.42	208.45	192.80	205.90	61132	0	14
2022.04.29	203.74	212.40	202.08	202.23	54567	0	14
2022.05.02	200.83	210.85	198.71	209.59	79802	0	14
2022.05.03	211.23	214.81	208.04	211.42	55300	0	14
2022.05.04	212.08	222.84	206.91	222.75	53582	0	11
2022.05.05	220.04	221.07	206.11	207.90	65583	0	14
2022.05.06	207.03	209.26	200.94	203.74	49343	0	14
2022.05.09	199.03	202.40	196.09	196.74	41656	0	14
2022.05.10	198.69	202.82	194.13	197.82	52157	0	14
2022.05.11	199.62	200.49	188.32	189.37	44762	0	11
2022.05.12	186.30	197.89	184.67	189.86	55233	0	11
2022.05.13	192.49	199.81	191.17	198.17	37240	0	11
2022.05.16	195.96	205.24	195.70	199.88	35300	0	14
2022.05.17	204.22	205.33	198.24	201.84	38227	0	14
2022.05.18	200.93	201.16	192.36	192.85	34338	0	11
2022.05.19	188.69	195.19	188.69	191.92	44789	0	11
2022.05.20	194.02	197.83	187.89	192.83	46083	0	11
2022.05.23	194.46	196.92	191.18	195.34	42933	0	11
2022.05.24	182.40	183.54	176.01	181.54	54495	0	11
2022.05.25	181.19	185.37	179.09	183.72	46081	0	11
2022.05.26	183.03	192.76	182.04	191.94	39673	0	11
2022.05.27	192.17	195.28	189.69	194.54	36257	0	11
2022.05.31	194.35	197.53	191.95	195.85	39791	0	11
2022.06.01	193.99	199.42	184.90	188.06	47964	0	11
2022.06.02	190.05	200.86	187.15	198.15	39794	0	11
2022.06.03	197.54	198.00	189.73	189.80	37042	0	11
2022.06.06	193.01	196.77	188.36	194.59	44899	0	11
2022.06.07	192.19	196.44	190.83	195.03	31731	0	11
2022.06.08	195.05	201.95	193.74	197.08	39348	0	11
2022.06.09	196.88	199.27	185.89	185.97	16174	0	14
2022.06.10	185.08	185.86	174.97	176.76	32618	0	11
2022.06.13	169.75	172.51	164.21	164.94	37995	0	11
2022.06.14	165.77	166.95	161.34	163.89	41549	0	11
2022.06.15	165.14	172.05	163.90	169.41	38154	0	11
2022.06.16	164.57	166.05	159.56	160.05	42710	0	11
2022.06.17	162.14	165.81	159.83	163.23	34478	0	11
2022.06.21	165.62	167.61	155.94	157.29	34411	0	11
2022.06.22	154.34	160.72	153.91	156.01	36813	0	11
2022.06.23	157.13	159.69	154.21	158.91	49864	0	11
2022.06.24	160.32	169.44	159.56	168.02	36612	0	11
2022.06.27	171.24	171.55	167.96	169.68	43230	0	11
2022.06.28	169.98	171.22	161.44	161.63	34528	0	11
2022.06.29	160.15	166.23	159.97	163.08	39068	0	11
2022.06.30	161.09	165.16	158.42	161.41	46887	0	11
2022.07.01	161.40	161.53	154.96	159.92	40438	0	11
2022.07.05	158.71	167.91	156.94	167.54	44621	0	11
2022.07.06	167.66	171.52	165.39	170.15	41606	0	11
2022.07.07	170.35	172.65	167.72	171.83	28285	0	11
2022.07.08	170.78	172.34	168.09	171.20	37986	0	11
2022.07.11	168.69	169.40	161.85	162.81	35201	0	11
2022.07.12	161.04	165.82	160.94	162.47	38117	0	11
2022.07.13	163.17	164.96	159.05	163.25	49414	0	11
