<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.17	01:00:00	1.13842	1.13848	1.13773	1.13798	561	0	0
2020.07.17	01:30:00	1.13798	1.13818	1.13772	1.13807	627	0	0
2020.07.17	02:00:00	1.13808	1.13862	1.13794	1.13847	384	0	0
2020.07.17	02:30:00	1.13848	1.13863	1.13835	1.13848	367	0	0
2020.07.17	03:00:00	1.13847	1.13865	1.13834	1.13859	268	0	0
2020.07.17	03:30:00	1.13859	1.13921	1.13859	1.13914	357	0	0
2020.07.17	04:00:00	1.13914	1.13931	1.13862	1.13877	310	0	0
2020.07.17	04:30:00	1.13877	1.13883	1.13853	1.13869	294	0	0
2020.07.17	05:00:00	1.13870	1.13872	1.13823	1.13833	333	0	0
2020.07.17	05:30:00	1.13833	1.13870	1.13778	1.13794	431	0	0
2020.07.17	06:00:00	1.13793	1.13848	1.13777	1.13840	588	0	0
2020.07.17	06:30:00	1.13841	1.13850	1.13801	1.13817	492	0	0
2020.07.17	07:00:00	1.13818	1.13896	1.13795	1.13875	760	0	0
2020.07.17	07:30:00	1.13875	1.13955	1.13821	1.13900	797	0	0
2020.07.17	08:00:00	1.13900	1.13988	1.13875	1.13984	718	0	0
2020.07.17	08:30:00	1.13984	1.14170	1.13979	1.14159	741	0	0
2020.07.17	09:00:00	1.14160	1.14190	1.14114	1.14171	751	0	0
2020.07.17	09:30:00	1.14172	1.14233	1.14112	1.14126	804	0	0
2020.07.17	10:00:00	1.14126	1.14177	1.14091	1.14149	648	0	0
2020.07.17	10:30:00	1.14149	1.14282	1.14148	1.14279	649	0	0
2020.07.17	11:00:00	1.14280	1.14297	1.14227	1.14248	568	0	0
2020.07.17	11:30:00	1.14248	1.14271	1.14201	1.14213	576	0	0
2020.07.17	12:00:00	1.14214	1.14294	1.14192	1.14232	717	0	0
2020.07.17	12:30:00	1.14233	1.14261	1.14158	1.14185	645	0	0
2020.07.17	13:00:00	1.14185	1.14265	1.14157	1.14246	951	0	0
2020.07.17	13:30:00	1.14247	1.14339	1.14228	1.14304	876	0	0
2020.07.17	14:00:00	1.14303	1.14394	1.14298	1.14337	904	0	0
2020.07.17	14:30:00	1.14338	1.14387	1.14196	1.14213	891	0	0
2020.07.17	15:00:00	1.14212	1.14336	1.14202	1.14330	718	0	0
2020.07.17	15:30:00	1.14330	1.14372	1.14256	1.14366	647	0	0
2020.07.17	16:00:00	1.14366	1.14380	1.14303	1.14314	578	0	0
2020.07.17	16:30:00	1.14313	1.14421	1.14295	1.14349	687	0	0
2020.07.17	17:00:00	1.14350	1.14416	1.14350	1.14391	500	0	0
2020.07.17	17:30:00	1.14390	1.14406	1.14355	1.14370	453	0	0
2020.07.17	18:00:00	1.14370	1.14397	1.14348	1.14387	419	0	0
2020.07.17	18:30:00	1.14388	1.14432	1.14364	1.14365	334	0	0
2020.07.17	19:00:00	1.14364	1.14406	1.14340	1.14369	407	0	0
2020.07.17	19:30:00	1.14369	1.14414	1.14337	1.14394	493	0	0
2020.07.17	20:00:00	1.14393	1.14393	1.14335	1.14344	271	0	0
2020.07.17	20:30:00	1.14344	1.14375	1.14210	1.14272	728	0	0
2020.07.19	00:00:00	1.14146	1.14452	1.14132	1.14418	2354	0	0
2020.07.19	21:00:00	1.14146	1.14196	1.14132	1.14164	0	0	0
2020.07.19	21:30:00	1.14174	1.14186	1.14134	1.14160	0	0	0
2020.07.19	22:00:00	1.14159	1.14399	1.14150	1.14398	0	0	0
2020.07.19	22:30:00	1.14398	1.14398	1.14304	1.14345	0	0	0
2020.07.19	23:00:00	1.14353	1.14403	1.14351	1.14394	0	0	0
2020.07.19	23:30:00	1.14394	1.14452	1.14376	1.14418	0	0	0
2020.07.20	00:00:00	1.14418	1.14418	1.14307	1.14345	567	0	0
2020.07.20	00:30:00	1.14345	1.14371	1.14176	1.14217	717	0	0
2020.07.20	01:00:00	1.14218	1.14223	1.14122	1.14183	821	0	0
2020.07.20	01:30:00	1.14183	1.14184	1.14128	1.14163	551	0	0
2020.07.20	02:00:00	1.14163	1.14207	1.14134	1.14172	505	0	0
2020.07.20	02:30:00	1.14171	1.14221	1.14162	1.14175	387	0	0
2020.07.20	03:00:00	1.14174	1.14186	1.14142	1.14163	365	0	0
2020.07.20	03:30:00	1.14163	1.14248	1.14143	1.14180	505	0	0
2020.07.20	04:00:00	1.14181	1.14305	1.14158	1.14256	625	0	0
2020.07.20	04:30:00	1.14256	1.14419	1.14245	1.14419	626	0	0
2020.07.20	05:00:00	1.14420	1.14459	1.14355	1.14414	883	0	0
2020.07.20	05:30:00	1.14414	1.14550	1.14414	1.14519	962	0	0
2020.07.20	06:00:00	1.14520	1.14664	1.14499	1.14618	1157	0	0
2020.07.20	06:30:00	1.14617	1.14658	1.14556	1.14573	874	0	0
