<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.15	184.82	184.96	181.01	181.24	23225	0	0
2021.07.16	181.58	182.40	178.56	178.68	23509	0	0
2021.07.19	177.91	178.16	175.14	176.15	24104	0	0
2021.07.20	178.22	179.56	175.86	179.11	18989	0	7
2021.07.21	178.92	179.17	177.17	178.36	14916	0	0
2021.07.22	179.62	181.87	179.02	181.68	15937	0	0
2021.07.23	182.61	183.27	181.04	182.74	15841	0	0
2021.07.26	183.16	185.54	182.31	184.70	16086	0	0
2021.07.27	184.59	185.12	179.28	180.99	25379	0	0
2021.07.28	181.63	182.83	180.03	181.63	20120	0	7
2021.07.29	181.59	181.99	178.98	179.68	17224	0	0
2021.07.30	168.73	168.79	165.34	166.48	36222	0	0
2021.08.02	167.40	167.87	165.83	166.28	23299	0	0
2021.08.03	166.99	169.50	164.93	168.16	21263	0	0
2021.08.04	168.65	169.32	167.25	167.89	14624	0	0
2021.08.05	168.08	169.41	167.01	168.64	16189	0	0
2021.08.06	168.70	168.91	166.44	167.00	13946	0	0
2021.08.09	167.29	167.68	166.40	167.12	12230	0	0
2021.08.10	167.11	167.85	165.72	165.97	15483	0	0
2021.08.11	165.60	166.83	163.85	164.19	14790	0	0
2021.08.12	164.82	165.62	163.44	165.56	13474	0	0
2021.08.13	165.16	165.38	164.13	164.38	10619	0	0
2021.08.16	164.62	164.81	160.57	164.56	17367	0	0
2021.08.17	164.06	164.48	161.25	161.85	21705	0	0
2021.08.18	162.28	162.67	160.56	160.79	17379	0	0
2021.08.19	159.24	161.62	158.95	159.60	22154	0	0
2021.08.20	159.11	160.34	158.76	159.48	16881	0	0
2021.08.23	160.58	163.98	160.38	163.42	14060	0	7
2021.08.24	164.00	165.75	163.57	165.26	16002	0	0
2021.08.25	165.59	165.99	164.28	164.99	11635	0	0
2021.08.26	164.25	166.56	164.25	165.85	15601	0	0
2021.08.27	166.04	167.54	165.62	167.49	12702	0	0
2021.08.30	167.73	172.20	167.61	171.36	16602	0	0
2021.08.31	171.29	172.92	169.79	172.65	17658	0	0
2021.09.01	173.57	176.27	173.57	173.88	16750	0	0
2021.09.02	174.19	175.54	172.74	172.97	17824	0	0
2021.09.03	173.36	173.82	171.79	173.22	15673	0	0
2021.09.07	173.52	176.36	173.10	175.66	15773	0	0
2021.09.08	175.26	177.22	174.75	175.98	20418	0	0
2021.09.09	175.61	177.44	174.54	174.70	15789	0	0
2021.09.10	174.95	175.34	173.10	173.31	16883	0	7
2021.09.13	173.89	174.80	171.92	172.35	20762	0	0
2021.09.14	173.02	174.23	171.86	172.35	15104	0	0
2021.09.15	172.65	174.17	170.09	174.10	16490	0	0
2021.09.16	173.06	174.59	172.27	173.93	15033	0	0
2021.09.17	174.08	174.89	172.59	173.16	19006	0	0
2021.09.20	170.84	171.09	165.22	166.69	27075	0	0
2021.09.21	168.80	168.94	166.59	167.34	22025	0	0
2021.09.22	167.88	169.40	166.99	169.20	17943	0	0
2021.09.23	170.13	171.39	168.93	171.19	15272	0	0
2021.09.24	169.79	171.11	169.51	171.11	15209	0	0
2021.09.27	170.59	170.76	166.93	170.46	21020	0	0
2021.09.28	167.08	168.46	164.49	165.82	28673	0	0
2021.09.29	167.12	167.54	164.83	165.28	20081	0	7
2021.09.30	165.87	166.36	163.68	164.74	24076	0	0
2021.10.01	163.09	165.33	162.78	164.02	22196	0	7
2021.10.04	163.01	164.06	158.79	159.33	30908	0	0
2021.10.05	160.22	163.00	159.97	161.48	20744	0	0
2021.10.06	158.93	163.13	158.81	162.63	23806	0	0
2021.10.07	164.72	167.39	164.08	165.30	15492	0	0
2021.10.08	164.67	166.19	164.58	164.61	17505	0	0
2021.10.11	163.40	164.59	161.87	162.64	16396	0	0
2021.10.12	162.61	163.34	161.80	162.09	16943	0	0
2021.10.13	163.45	164.37	162.47	164.06	16447	0	7
2021.10.14	165.18	165.59	164.47	165.00	11430	0	5
2021.10.15	165.25	170.10	165.14	169.99	16042	0	7
2021.10.18	169.66	172.37	169.12	172.16	15668	0	7
2021.10.19	172.46	172.69	171.05	172.24	12979	0	7
2021.10.20	171.93	172.97	169.99	170.90	14913	0	7
2021.10.21	170.60	171.97	170.11	171.72	11925	0	7
2021.10.22	171.38	171.72	166.85	166.85	19486	0	7
2021.10.25	167.27	167.34	164.88	165.75	14820	0	7
2021.10.26	168.21	170.75	167.17	169.28	18339	0	7
2021.10.27	168.21	171.80	168.02	170.15	19818	0	7
2021.10.28	170.40	173.91	169.26	171.72	19663	0	7
2021.10.29	163.86	167.94	163.53	167.34	26441	0	7
2021.11.01	168.85	169.18	164.58	165.44	17048	0	7
2021.11.02	165.82	166.52	164.13	165.33	14717	0	7
2021.11.03	165.75	169.70	164.81	169.29	19701	0	7
2021.11.04	169.48	174.89	168.21	173.94	24917	0	7
2021.11.05	173.94	178.28	173.15	176.12	23196	0	7
2021.11.08	175.69	178.89	174.48	174.58	20519	0	7
2021.11.09	174.68	179.65	174.52	178.74	27942	0	7
2021.11.10	178.36	180.22	173.19	173.20	27238	0	7
2021.11.11	175.36	177.11	173.34	173.64	18186	0	7
2021.11.12	173.95	176.99	172.32	176.23	18901	0	7
2021.11.15	176.52	179.57	176.25	177.25	17229	0	7
2021.11.16	176.71	178.65	176.23	177.26	14244	0	7
2021.11.17	177.27	179.31	177.27	177.74	17204	0	7
2021.11.18	178.32	184.66	177.95	184.61	25452	0	7
2021.11.19	185.23	188.08	183.82	184.32	24265	0	7
2021.11.22	184.61	185.56	178.35	179.54	25644	0	7
2021.11.23	177.53	180.96	176.36	178.95	22846	0	7
2021.11.24	178.58	180.64	176.78	179.02	19713	0	7
2021.11.26	177.73	181.48	175.77	176.12	18479	0	7
2021.11.29	176.93	179.77	176.05	178.74	17782	0	7
2021.11.30	177.61	179.21	174.57	175.38	25894	0	7
2021.12.01	177.17	178.40	172.52	173.49	25976	0	7
2021.12.02	173.16	174.51	171.15	172.55	22993	0	7
2021.12.03	171.29	173.31	166.93	167.50	26989	0	7
2021.12.06	167.81	173.64	166.87	171.41	22536	0	7
2021.12.07	174.76	177.45	173.26	176.01	19344	0	7
2021.12.08	176.41	177.24	174.72	176.09	17492	0	7
2021.12.09	175.36	176.87	174.25	174.54	17410	0	7
2021.12.10	174.59	176.03	170.47	171.64	21877	0	7
2021.12.13	172.81	173.20	169.09	170.01	23018	0	7
2021.12.14	168.17	169.45	166.40	168.75	22237	0	7
2021.12.15	168.54	173.22	165.17	172.02	29241	0	7
2021.12.16	174.18	174.52	168.34	168.72	25748	0	7
2021.12.17	166.88	170.87	165.58	169.32	25072	0	7
2021.12.20	167.70	168.09	165.57	166.31	21269	0	7
2021.12.21	168.18	170.67	165.58	169.69	20714	0	7
2021.12.22	169.83	172.01	168.52	170.14	21657	0	7
2021.12.23	171.04	171.93	170.09	171.31	14347	0	5
2021.12.27	171.44	172.88	169.22	169.36	15790	0	7
2021.12.28	170.17	172.15	169.11	170.52	18738	0	7
2021.12.29	170.81	171.11	168.64	169.38	13147	0	7
2021.12.30	169.54	170.83	168.51	168.88	13916	0	5
2021.12.31	168.78	169.26	167.09	167.09	11095	0	7
2022.01.03	167.90	170.64	166.11	170.02	20213	0	7
2022.01.04	170.71	171.36	166.29	167.54	22298	0	7
2022.01.05	167.33	167.34	164.60	165.15	23376	0	7
2022.01.06	163.97	164.72	161.91	163.12	25053	0	7
2022.01.07	163.99	165.15	162.01	162.74	23854	0	7
2022.01.10	162.31	162.37	156.27	161.17	38344	0	7
2022.01.11	162.15	166.31	160.63	165.29	32851	0	7
2022.01.12	165.55	166.79	164.47	165.20	26993	0	7
2022.01.13	165.36	166.18	161.54	161.75	32688	0	7
2022.01.14	161.30	162.22	159.63	161.93	34995	0	7
2022.01.18	158.56	160.13	157.64	158.92	31481	0	7
2022.01.19	159.05	159.82	156.78	157.01	34293	0	7
2022.01.20	156.83	157.91	152.17	152.40	33999	0	5
2022.01.21	150.56	150.80	142.06	143.45	56960	0	7
2022.01.24	140.90	144.81	135.31	143.57	39395	0	7
2022.01.25	142.34	143.47	138.15	140.09	41401	0	7
2022.01.26	143.35	145.08	137.29	138.28	52709	0	5
2022.01.27	138.61	144.18	138.49	140.51	53298	0	5
2022.01.28	139.75	142.84	137.92	142.83	45191	0	5
2022.01.31	144.93	149.28	143.81	148.98	30461	0	7
2022.02.01	149.81	151.03	147.66	150.63	35660	0	7
2022.02.02	154.94	155.65	148.85	150.19	39292	0	5
2022.02.03	145.28	145.75	138.30	139.85	55453	0	5
2022.02.04	155.41	161.19	150.54	159.53	74965	0	7
2022.02.07	157.39	162.56	157.17	158.82	41202	0	7
2022.02.08	157.53	161.55	155.54	161.32	34045	0	7
2022.02.09	162.10	163.77	160.21	160.84	29898	0	7
2022.02.10	160.79	161.12	157.70	158.37	41568	0	7
2022.02.11	157.69	159.15	152.70	152.98	39464	0	7
